LABEL,TEXT
half-true,The group that organized Texas Muslim Capitol Day in Austin was recently listed as one of 82 organizations designated as a terrorist group by the United Arab Emirates.
barely-true,Go look at a Trump product. Theyre all made in China.
TRUE,Nearly 6 out of 10 believe that money and wealth should be more evenly distributed among a larger percentage of the people in the U.S.
mostly-true,Public education has been permanently cutby $1.6 billion through changes in the Standards of Quality funding formula.
FALSE,This president went before the United Nations and castigated Israel for building settlements. He said nothing about thousands of rockets being rained in on Israel from the Gaza Strip.
TRUE,"In its current state, this bill is the most restrictive voter ID legislation in the nation."
mostly-true,President Obama has the most border patrols and border security deployed at the border of any previous president.
FALSE,"Says as GOP was picking a convention city, I recommended Ohio."
TRUE,Washington has incentivized the militarization of local police precincts.
pants-fire,Says she was never a member of the Georgia Log Cabin Republicans.
mostly-true,"By spring 2014, parents of 60,000 students in New York state had refused to let them take the Common Core Tests."
half-true,Congressman Perriello voted in lock step with Nancy Pelosi 90 percent of the time.
half-true,"In (Sen. Marco) Rubios state of Florida alone, Social Security lifts more than -- count it -- a million people out of poverty."
barely-true,Donald Trump would engage in a risky scheme to privatize Social Security.
mostly-true,Massachusetts schools are ranked No. 1 of all 50 states.
barely-true,"But for immigrants, we would have a contracting population..."
FALSE,The majority of the people that are coming to Arizona and trespassing are now becoming drug mules.
barely-true,"Rhode Island gives undocumented pregnant women health insurance, plus a cash card with $400 a month on it and $250 a month or $275 a month to spend on food."
barely-true,Says Mark Pryor continues to insist that Obamacare is an amazing success.
pants-fire,Were only inches away from no longer being a free economy.
mostly-true,The United States is the leading nation in the world with the highest amount of doubt about the conventional wisdom of climate change.
half-true,The U.S. Justice Department has taken on more than 100 voting rights cases since 2009.
mostly-true,On average it takes 300 Americans working for a solid year to make as much money as one top CEO.
TRUE,Says Barack Obama has played over 90 rounds of golf as president.
half-true,"Team Trump has accused Ted Cruz of fraud in Iowa, Texas, Colorado, Oklahoma, Louisiana, Kansas, Maine, Utah and Wisconsin."
FALSE,"This years redistricting has been the most open, interactive and transparent redistricting process in Tennessee history."
mostly-true,"Under economic sanctions, now Iran is suffering 30 percent inflation, 20 percent unemployment."
mostly-true,"Says that as Wisconsin governor, we ended welfare."
TRUE,"In the 18th Congressional District, 100% of electric generation comes from coal."
barely-true,The folks in Washington are already forcing you to buy government health care.
FALSE,Says President Barack Obama is the first president weve ever had who thinks he can choose which laws to enforce and which laws to ignore.
mostly-true,Up to 45 percent of illegal immigrants are not people that physically crossed the southern border or northern border. They are visa overstayers.
FALSE,"Charlie Crist ""worked with Acorn"" to give felons voting rights."
FALSE,On support for gay marriage.
half-true,"This year, we have added an average of 200,000 jobs per month, a majority in the private sector, a stark contrast to the Bush Administration record of losing an average of nearly 750,000 jobs per month in its last three months."
TRUE,Republicans in Congress refuse to list a single tax loophole they are willing to close.
barely-true,Says Hillary Clintons Iran nuclear deal lined the pockets of the worlds number one state sponsor of terrorism with your money.
pants-fire,"Obama thinks the national anthem should be ""I'd Like to Teach the World to Sing."""
TRUE,"Right now, America has $1.1 trillion of student debt. Thats more than credit card debt."
mostly-true,Twenty-six men named William have been elected to statewide office and only seven women have had the honor.
barely-true,When Obama took office the economy of the United States was actually shrinking for the first time in about 70 years.
FALSE,Says Marco Rubio said that felons should not have their voting rights restored but that convicted felons should be allowed to own guns after they have done their time.
mostly-true,"Twice as much (federal) money is going back to Hawaii, Virginia and Alaska than is coming home to Oregon."
half-true,I didnt inherit money from my parents.
TRUE,"If you tried to pay out $1 trillion by handing it out at $1 per second, it would take more than 31,000 years."
FALSE,You cant put a gun rack in a [Chevrolet] Volt.
TRUE,The tax penalty that the government imposes if you dont buy health insurance is lower than it would have cost to buy insurance.
half-true,Israel has seen a 90 percent reduction in terrorist attacks that it attributes to building a 500-mile fence.
pants-fire,Newt Gingrich says electric co-ops and credit unions are government-sponsored enterprises like Freddie Mac.
barely-true,"Attempts to find things like, crime, criminal activity, indictment, have been filtered out by Google in favor of Hillary Clinton."
pants-fire,The National Science Foundation spent $1.2 million paying seniors to play World of Warcraft to study the impact it had on their brain.
TRUE,Our government right now. . . (is) spending 40 percent more than what we take in.
FALSE,The biggest contribution behind a decrease in U.S. unemployment was 1.2 million people leaving the workforce
mostly-true,"If we choose Obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into Medicaid."
barely-true,"Says the U.S. Postal Service has taken no taxpayer aid since 1971, funds operations entirely from the sale of stamps and related products and makes an operational profit year after year."
mostly-true,California has seen a 56 percent decline in the gun murder rate since the 1990s.
FALSE,Drug overdoses are now the second-most common cause of death in New Hampshire.
FALSE,"Congressman Cicilline, when he was the mayor of Providence, espoused a sanctuary city."
half-true,Says his opponent Dorman Grace brags on his Facebook page about receiving illegal campaign contributions.
FALSE,Says 70 percent of Virginias Medicaid cost is for seniors in nursing homes.
TRUE,[L]ess than one-tenth of Atlantas transportation needs are covered in a referendum to levy a 1-cent sales tax.
mostly-true,More than two-thirds of the aliens the Obama administration has brought to the United States under the presidents Central American Minors program werent actually minors at all.
mostly-true,"Says Chris Abele, opponent in Milwaukee County executive race, failed to finish 3 separate colleges, dropping out all 3 times."
pants-fire,Obama Signs Bill Forgiving All Student Loan Debt.
half-true,AGallup report recently said that nearly 50 percent of small business owners arent hiring because of what they call regulatory uncertainty.
FALSE,"Obama says Iran is a 'tiny' country, 'doesn't pose a serious threat.'"
FALSE,"Says that Mitt Romney, while he was in Arizona, said he believes the states SB 1070 immigration law should be the model for national immigration laws."
barely-true,Toomey crossed party lines to stop gun sales to suspects on the terror watch list.
half-true,Two-thirds of the people who start out in minimum wage are above the minimum wage within a year.
half-true,"The state of Georgia lost 16 percent of its employees last year, and that percentage has risen over the past three years."
half-true,Says hes the only licensed firearms dealer in America running for Congress.
FALSE,On releasing photographs depicting the abuse of prisoners.
FALSE,Says attorney general candidate Jon Richards went so far to say he would only enforce the laws with which he personally agreed.
FALSE,The pass rate for a high school level test to join the military is 35 to 40 percent.
TRUE,We've got some 37-million of our fellow citizens who are living in poverty; about 12-million or 13-million are children.
barely-true,"Cicilline continues to accept hundreds of thousands of dollars in lobbyist, corporate PAC and insider money to fund his campaign."
mostly-true,Borrowing in my 2015-17 state budget is less than half that in my predecessors last budget and the lowest it has been in a decade.
pants-fire,Says the federal government mandates transexuals (sic) and homosexuals grabbing children in their stranger-danger zones in the name of airport security.
FALSE,"Every year since Gov. Walker and the Republicans have been in control of the Legislature weve created fewer jobs, according to the Bureau of Labor Statistics."
barely-true,Claims Joe Biden said coal is more dangerous than terrorists.
pants-fire,An Obama campaign tactic for rallying voters is to offer them cell phones.
half-true,What is and isnt a Schedule I narcotic is a job for Congress.
barely-true,Higher beer production and higher consumption go hand-in-hand.
TRUE,We are now seeing a decrease in violent crime.
barely-true,Says theres $4 billion in private investment along the streetcar.
pants-fire,Says Arkansas Republican Rep. Tom Cotton voted to provide Congress with taxpayer-funded health care for life.
TRUE,Israels per capita income is greater than probably three-fourths of the rest of the world.
barely-true,"Well over 90 percent of felony cases, all over the nation, are committed by defendants who grew up in father-absent households."
barely-true,"For his first interview as president, Barack Obama chose Arab TV for an apology."
TRUE,"Georgia is on track for 1,200 traffic fatalities this year, a reversal of nine years of declines."
FALSE,More businesses are closing than opening in Virginia today.
half-true,We have record numbers of people living in poverty.
TRUE,"Obama served on a board with former Weather Underground member William Ayers and ""that relationship with Mr. Ayers on this board continued after 9/11."""
TRUE,Says Obama broke his promise to offer a comprehensive immigration bill in his first year.
pants-fire,The media wont publish a real photo of Trayvon Martin with tattoos on his face.
barely-true,Rand Paul supports Obamas negotiations with Iran.
mostly-true,"For Social Security, which is projected to remain solvent through 2033, Whitehouse has cosponsored [a bill that] . . . would extend the life of the program by an additional 75 years."
barely-true,"A single parent with a couple kids can easily get $35,000 a year in public assistance in Wisconsin."
mostly-true,Police in the United States are allowed to use tear gas even though it has been classified as a chemical weapon and banned in international conflict since 1993.
barely-true,Says Hillary Clinton viciously attacked women abused by Bill Clinton.
barely-true,"A letter from BP to the Minerals Management Service ""actually recommends improvements and specific recommendations around safety regulations should they choose to change them."""
TRUE,"We passed without, frankly, the help of the Republican caucus, we passed 25 tax cuts last year, mostly aimed at the middle class and small businesses."
FALSE,Under the Iran deal: If Israel attacks Iran were supposed to be on Irans side.
pants-fire,Nobody suffered any lasting injuries from the CIA interrogation program.
pants-fire,Im not one for name calling.
barely-true,Says Sen. Pat Toomey even tried to shut down the federal government in order to eliminate funding for Planned Parenthood.
mostly-true,Wisconsin has one of the most progressive tax codes in the country.
half-true,"During the year Kagan barred military recruiters from Harvard Law School's Office of Career Services, ""military recruiting actually went up."""
half-true,ISIS reaches about 100 million people a day through social media.
TRUE,Texas added more jobs in 2010 than any other state.
FALSE,"In the primary election, a right-wing group spent more than $100,000,000 to support Supreme Court Justice Rebecca Bradley."
FALSE,"(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations."
half-true,Says Sam Houston opposed slavery and as governor said Texas should not leave the union over slavery.
FALSE,Our national debt is as low as it has been since World War II.
TRUE,Every time [the people from Newport Tent] work in a city or town they have a whole different set of permits that they have to get in order to pitch a tent.
FALSE,Debbie Jackow unlike her opponent ...WILL NOT de-fund the 20/20 land program.
half-true,The average age a child is trafficked into the commercial sex trade industry is between 11 and 14 years old.
half-true,Says 99 percent of the time police officers arent charged when they kill young people of color.
TRUE,Six justices on the U.S. Supreme Court have been confirmed in presidential election years since 1912.
FALSE,Property taxes are now 18% higher than when(Mark Sharpe)first took office.
TRUE,The minimum number of infrastructure (needs) in Atlanta is $900 million.
half-true,"The firefighter and police officer pension system is not headed for bankruptcy, far from it. Thats because New Jersey first responders -- fire fighters and police officers -- have never missed making payments to the retirement system."
pants-fire,The truth was revealed there in that report that showed there was no unlawful or unethical activity on my part.
mostly-true,Says Donald Trump said he intends to open up additional areas off the coast to oil drilling during the campaign.
mostly-true,"Here are the stats: Per population, we kill each other with guns at a rate 297x more than Japan, 49x more than France, 33x more than Israel."
barely-true,Students today take more years to get through college.
barely-true,Says Rick Perry flip-flopped on gay marriage by first saying it was a states rights issue and then saying he was in favor of a federal constitutional amendment banning gay marriage.
barely-true,Congress decision to spend less around the world on embassy security contributed to tragedies like Benghazi.
mostly-true,"The United States is about 100th in voter turnout among the industrialized nations, and Texas is near the bottom in terms of voter registration and voter turnout."
half-true,"Under Barack Obama's plan, the government would spend $1-trillion more."
mostly-true,"In 2011, NJ economy ranked 47th--at the bottom with Alabama, Mississippi Wyoming. Under Christie, NJ is falling behind."
TRUE,"Theres never been a (U.S. Supreme Court) vacancy in the last, I think, 30 years, lasting longer than 237 days."
pants-fire,Nearly 60% of all occupants of HUD properties in U.S. are illegals.
mostly-true,"Oregon families pay an extra $1,400 a year on higher insurance premiums to cover those who do not have insurance."
half-true,"As soon as Chris Christie was governor, he gave tax cuts to millionaires."
TRUE,Ninety percent of Americans want our background check system strengthened and expanded to cover more gun sales.
mostly-true,"Over 80 percent of our trade deficit today is with countries that are not trade agreement partners, that are not level playing fields for the United States."
pants-fire,Says Ken Cuccinelli wants to eliminate all forms of birth control.
FALSE,A bill that would halt the EPA from regulating greenhouse gases would help stop rising gas prices.
FALSE,"The measles vaccine has killed 108 people in the last decade, while no one has died of measles."
mostly-true,"For our next two years in my state, we will end with a structural surplus of $499 million."
FALSE,In Virginia there has been a billion dollars in surplus over the last three years. The legislature has spent less than 1 percent of that on roads.
mostly-true,Virginia women earnonly 79 cents to each dollar earned by men...
half-true,Says oil productions down where Obamas in charge.
mostly-true,Every other major country has family paid leave.
pants-fire,Says a picture he posted on Facebook of a man posing in front of five decapitated human heads is one of the subhuman mongrels our president set free.
half-true,"Says that during President Barack Obamas tenure, the United States has created 15 million new jobs."
FALSE,The (national) debt really added up $75 trillion in 2010 and is on track to hit $99 trillion this year.
barely-true,President Barack Obama ordered our military to enlist illegal aliens.
pants-fire,"A government panel that didn't include cancer specialists says women shouldn't receive mammograms until age 50...If government takes over health care, recommendations like these could become the law for all kinds of diseases."
mostly-true,"This governor has cut funding repeatedly for people who have AIDS, who need drugs to save their life."
mostly-true,"We have dozens of districts that go for 150 to 200 miles, splitting counties, splintering cities and connecting areas that have very little in common."
half-true,Congress gave an unelected board the power to deny care to seniors.
half-true,I never said I was on the Falkland Islands.
barely-true,My state of Florida is now the third-largest state. We have surpassed New York in population.
half-true,The latest Quinnipiac poll found that nearly six-in-ten Americans oppose ObamaCare -- 30% support the law and 57% oppose it.
pants-fire,Says Wisconsin Senate recall candidate Jessica King voted to increase her pay with taxpayer dollars by 63 percent.
pants-fire,Says Barack Obama began his presidency with an apology tour.
barely-true,A Texas law will repatriate $1 billion of gold bullion from the Federal Reserve in New York to Texas.
TRUE,The majority of the Hispanic population and the growth (of the population) is U.S.-born.
half-true,Says Barack Obamas administration has admitted that money from its Iran nuclear deal would go directly to terrorism.
FALSE,No Bridge to Nowhere could occur.
TRUE,"When (Joe Kyrillos) had an opportunity to vote for women in terms of their health care, not once, not twice, but six times, he voted against womens health care in our state."
half-true,"When it comes to classified information at the State Department, Hillary Clintons the decider."
barely-true,"Right now, Im polling at about 8 percent against Barack Obama and Mitt Romney."
FALSE,Food stamps have gone up two-and-a-half times under Barack Obama.
FALSE,"In the 38 Studios deal, Wall Street investors took a risk, and went bust."
FALSE,Says President Barack Obama broke his promise to keep a Wisconsin GM plant from closing.
FALSE,"The weight of the evidence (on global warming) is that most of it, maybe all of it, is because of natural causes ... its fair to say the science is in dispute."
TRUE,Mercedes said high taxes and the cost of doing business in New Jersey worked to Georgias advantage in landing the companys USA corporate headquarters.
FALSE,State Department officials actually directed contracts for the Haitian recovery after the earthquake to friends of the Clintons.
half-true,"The federal government is making the decision, whether we like it or not, to send 425 refugees to our state from Syria."
FALSE,Beer drinking is not allowed in any Illinois state parks.
FALSE,Says U.S. Senate rival Tommy Thompson ran Medicare into the ground and nine years closer to bankruptcy.
FALSE,"On new dollar coins, In God We Trust is gone!"
pants-fire,Freshman Rep. Bob Gibbs is spending his one year anniversary on vacation only working 6 days in all of January.
barely-true,Early voting remains at 96 hours.
half-true,Says Obama flip-flopped on banning handguns.
mostly-true,I remain one of the poorer members of the United States Senate.
FALSE,[T]he Georgia Dome has returned $10 billion in economic impact to the state of Georgia.
TRUE,What happens is people like Warren Buffett and he says this himself...pay 15 percent on the millions of dollars that they earn from wealth income... while their secretary is paying a higher rate on her work income. It's not right.
TRUE,"Other Western countries have ended their ""Don't Ask, Don't Tell"" policies."
TRUE,The U.S. is borrowing approximately $2.52 for every $1 of economic growth so far in 2012.
FALSE,"The Northwest Corridor highway project in Cobb and Cherokee counties is expected to create over 9,700 jobs statewide."
barely-true,The presidents own advisers have said theres a war on coal.
barely-true,"Because of the new health care law, 17 million kids can no longer be denied for a pre-existing condition."
FALSE,Says Hillary Clinton is proposing destroying Medicare for seniors.
FALSE,On supporting winner of Democratic primary with her superdelegate vote.
mostly-true,The IRS has been specifically forbidden ... from ever actually pursuing either civil or criminal remedies for people who dont purchase health insurance.
FALSE,A bill to advance the Keystone XL Pipeline is an earmark under House rules.
mostly-true,Says Rick Scott thinks employers should be able to deny women coverage for birth control.
FALSE,Florida is the first state requiring drug testing to receive welfare!
FALSE,Says Hillary Clinton wants to raise taxes on African-American owned businesses to as much as nearly 50 percent more than theyre paying now.
FALSE,"A lot of people who go into prison straight, and when they come out theyre gay."
TRUE,"SaysGOP U.S. Senate candidate Darryl Glenn wants to eliminate the Department of Education and jeopardize college fundingfor 320,000 Coloradans."
FALSE,The president of the United States will be taking a trip over to India that is expected to cost the taxpayers $200 million a day.
barely-true,Michael Bennet cast the deciding vote for the stimulus and the health care bill.
TRUE,White people control almost 90 percent of the nations wealth.
FALSE,200 consumer laws were destroyed in 2011 when Gov. Scott Walker signed Act 92.
pants-fire,Congress Approves Bill Offering Free Cars To Welfare Recipients.
barely-true,Wisconsin is not walking away from a dime in federal funds by rejecting the Obamacare Medicaid expansion.
FALSE,"Says that in 2007, Oregon ranked 25th -- or 7th from the bottom -- in percentage of children with untreated decay compared to 32 other states with similar data."
mostly-true,"Says that, as a Supreme Court justice, Greg Abbott found that a company whose vacuum cleaners were sold door to door had no responsibility in the hiring of a salesman who raped a customer."
mostly-true,"The original compromise for the Confederate battle flag in South Carolina was to put it on the back side of the statehouse, out of public view so it would not have any appearance of sovereignty."
mostly-true,The nine-day deer hunt contributes more than $1.3 billion in revenue to the state of Wisconsin.
mostly-true,Weve now gained private sector jobs 12 months in a row.
mostly-true,George Bush sent people to war without body armor.
mostly-true,"Says Jeff Brandes voted to allow state-run Citizens Property Insurance to dump policies onto out-of-state, unregulated private companies."
barely-true,Ch Guevara wrote extensively about the superiority of white Europeans over people of African descent.
mostly-true,"From 1947 to 1979, family incomes for rich, middle-income and poor Americans grew about the same rate. But since 1979, incomes for rich families have grown much faster."
pants-fire,Hitler abolished unions and thats what Wisconsin Gov. Scott Walker is doing today.
FALSE,Says Ted Kennedy sent a letter to then Soviet leader Yuri Andropov apologizing for Ronald Reagan and begging the Soviets not to overreact.
pants-fire,"Page 92 of the House health care bill ""says specifically that people can't purchase private health insurance after a date certain."""
half-true,Republicans went out of the way to praise (Eric) Holders nomination. ... Not a single Republican senator opposed Eric Holders nomination.
barely-true,We actually have not required in this law that you carry health insurance.
pants-fire,States still face a mandate to expand Medicaid coverage under President Obamas health care reform law.
barely-true,SaysTom Cotton voted against preparing America for pandemics like Ebola.
barely-true,"Since President Obama took full control of Washington every single day, more than 1,500 of our jobs have been lost."
pants-fire,"Says Nancy Pelosi said, Waiting long hours in the emergency room will allow you to make new friends!"
mostly-true,"The DREAM Act was written by members of both parties. When it came up for a vote a year and a half ago, Republicans in Congress blocked it. The bill hadnt changed. ... The only thing that had changed was politics."
barely-true,Says former state Sen. Kelli Ward wanted to ban our intelligence agencies from operating in Arizona.
half-true,"70,000 three-year-olds and four-year-olds across America will lose access to the preschool Head Start program. ... 2,000 in the state of Florida alone."
barely-true,Betty Sutton and her fellow Democrats went on a spending spree and now their credit card is maxed out.
FALSE,"Muslims attempted to establish the first Islamic Sharia court inside the United States in the town of Irving, Texas."
pants-fire,"Since January 2008 the private sector has lost nearly 8 million jobs while local, state and federal governments added 590,000."
mostly-true,"Of the 10,000 Rhode Island children in charter school lotteries for the fall, more than 70 percent are poor .... In addition, a majority of them are students of color."
FALSE,"Yes, this would be the same congressman (Rep. Pete Hoekstra) who last year Tweeted the whereabouts of a top-secret mission to Iraq."
mostly-true,"Says the federal government could save $175,587 by eliminating a study of the connection between cocaine and risky sex habits of the Japanese quail."
FALSE,On the Cuba embargo.
FALSE,Says Scott Walker rejected legislation to make college loan payments tax deductible and the result was to raise taxes on students.
mostly-true,Obamas position on nuclear arms is a march toward global zero.
mostly-true,"Once people become citizens under the DREAM Act and turn 21, they can sponsor their illegal immigrant parents for legalization."
FALSE,Says Wisconsin Manufacturers Commerces own 2014 survey revealed that just 15 percent of business executive respondents were in favor of Right-To-Work legislation.
barely-true,The Capitol Police force is going so far as to use paramilitary equipment in dealing with singing protesters in Madison
pants-fire,Tens of thousands of fraudulent Clinton votes found in Ohio warehouse.
FALSE,"When it comes to protesters in Madison, almost all are now from outside of Wisconsin."
TRUE,Says Democratic runoff opponent Grady Yarbrough twice previously ran statewide as a Republican.
half-true,Says U.S. Rep. John Barrow left taxpayers on the hook for $950k study on genetic makeup of ants.
mostly-true,President Obamas recent plan to cut $100 million of waste within his administration wont actually save money because hes going to spend it elsewhere.
TRUE,The estimated savings of this (debt ceiling) deal only pay for half of the cost of extending all of the Bush-era tax cuts for another decade.
pants-fire,"As Florida secretary of state, Kurt Browning allowed 1,800 illegal voters to register in Florida."
barely-true,The only budget Ted Cruz ever voted for in his time in the Senate is a budget that cut defense spending by more than Barack Obama proposes we cut it.
FALSE,"Rural schools enroll 40 percent of American children, but receive only 22 percent of federal education funding."
mostly-true,"Based on the August 2012 national jobs numbers, for every person who got a job, nearly four people stopped looking for a job."
FALSE,On repealing the 17th Amendment
half-true,More than 90 percent of the gains have gone to the top 1 percent.
pants-fire,An aide acted on his own and was not representing the Thompson campaign when he sent an email criticizing the sexual orientation of U.S. Senate candidate Tammy Baldwin.
mostly-true,"On immigration, what reports say President Barack Obama plans to do is roughly on the same scale as what President George H.W. Bush did."
half-true,"Since 2013 alone, the Obama administration has allowed 300,000 criminal aliens to return back into United States communities. These are individuals encountered or identified by (Immigration and Customs Enforcement), but who were not detained or processed for deportation because it wouldnt have been politically correct."
mostly-true,Shirley Sherrod was forced to resign before anybody on Fox said a word about this.
half-true,That 3.5 percent (increase in the third quarter GDP) came from two things government spending on Cash for Clunkers they just moved fourth-quarter auto sales into the third quarter and the first-time home buyer thing.
barely-true,"Were $15 trillion now in debt, with a president thats racked up as much debt as almost all of the other presidents combined."
TRUE,Twenty-two million jobs were created during Clintons two terms but only 3 million during Bushs.
barely-true,"In the New York 9th District, there is a large number of people who went to the polls tonight who didnt support the president to begin with and dont support Democrats -- and its nothing more than that."
TRUE,A government shutdown could disrupt ... veterans benefits.
TRUE,"A family of four can make up to $88,000 a year and still get a subsidy for health insurance under the new federal health care law."
half-true,"An economic impact study found that for every $1 invested in pre-K in Pennsylvania, a total of $1.79 is generated in total spending within the state."
half-true,"Last year it was discovered that Rhode Islands public employees ranked 4th in average pay, while the private sector ranked 23rd."
barely-true,Says Will Hurd said a border-long U.S.-Mexico wall absolutely makes sense.
TRUE,Says state workers have not had across-the-board raises in six years.
TRUE,"When I was in college, we used to take a popcorn popper . . . and we would fry squirrel."
TRUE,"Ronald Reagan raised taxes in 1982, 1984, 1985, 1986 and 1987."
TRUE,"Says Sen. Rand Paul, R-Ky., has stated that supporting the right to health care ... means you believe in slavery."
barely-true,"Says Bernie Sanders health care plan would empower Republicangovernors to take away Medicaid,to take away health insurance for low-income and middle-income working Americans."
pants-fire,"In 2006, Planned Parenthood performed more prevention services and cancer screenings than abortions, but in 2013, there were more abortions."
half-true,A proposed amendment allows a teenager to get a recommendation for medical marijuana without the consent of a parent.
barely-true,Says nothing in Obamas $3.7 billion request to address the child immigrant situation actually secures the border.
TRUE,Pregnant women trying to buy health insurance on their own are barred from maternity coverage because they have a pre-existing condition.
TRUE,"If youre earning under $100,000 a year and you commute to New York every day you pay more to the Port Authority in tolls than you pay to the state of New Jersey in income tax."
half-true,In Chile they have 72 percent of the GDP in savings.
TRUE,"There are 850,000 Ohio jobs tied to the auto industry."
pants-fire,The Mexican government forces many bad people into our country.
half-true,A sitting sheriff cannot be charged except by a warrant issued by a Superior Court judge.
mostly-true,"Since 1999, all Virginia Lottery profits have been used for public education in the Commonwealth for kindergarten through 12th grade."
mostly-true,Says House Republicans rejected a straightforward measure that would prevent members of Congress and the president from being paid during a government shutdown.
FALSE,"Governor Christie also remains the only Governor since World War II, among both Democrats and Republicans, who failed to have his party win control of at least one legislative body over the course of his term."
FALSE,Sixty-percent of the state retirees...dont get Social Security.
pants-fire,"Over 73% of all donations raised (from the ALS Ice Bucket Challenge) are going to fundraising, overhead, executive salaries, and external donations."
TRUE,"If you go strictly by the numbers, crime is down across the board. Last year we had a 10 percent decrease in the most serious crimes."
mostly-true,Sunday liquor sales could generate $3.4 million to $4.8 million a year in additional sales tax revenue for Georgia.
mostly-true,"Says the 2010-11 New Hampshire budget ended with an $18 million surplus, while the Republican-led 2012-13 budget has a $40 million deficit."
barely-true,"Says Barack Obama was silent on Iran when the students took to the streets in Tehran and the people there protested, (and) the Green Revolution occurred."
mostly-true,"No candidate has run more negative ads in American history than Barack Obama did in 2008, especially in the general."
pants-fire,Inner-city crime is reaching record levels.
mostly-true,The right-to-work states have much lower level of unemployment than the union states do.
barely-true,Oklahomas Republican Gov. Mary Fallin signed a new law which makes you pay a special fee. It will essentially fine people for the crime of using solar power.
FALSE,Tampa mayoral opponent Bob Buckhorn supported forcing police officers to keep their guns locked in the trunks of their cruisers.
FALSE,Millions could lose their health care coverage and be forced into a government pool under the new health care law.
TRUE,"A Texas police department bought an ad telling drug dealers, We can take your competition off the streets for FREE."
FALSE,Only a few months ago the FBI arrested three Broward County Commissioners for accepting millions of dollars in trade for illegal favors.
barely-true,"Our unemployment rate has been higher than 8 percent for more than two-and-a-half years, far above what the Obama Administration promised with the stimulus."
mostly-true,"Thanks in part to our all-of-the-above strategy for American energy, the United States generates more natural gas than anybody."
TRUE,"State law says that once the state appraises a piece of property, they can only pay it a certain amount above appraisal."
pants-fire,Ted Cruz helps run two national organizations that have been leading the push to give amnesty to illegal immigrants.
mostly-true,Says Chris Christie created this new category where you could get laid off and just be totally denied unemployment benefits forever.
mostly-true,"Thanks to our reforms, the average family will have an extra $322 to spend."
TRUE,Measles is one of the most common causes of child blindness worldwide.
TRUE,"When oil and gas prices sent state revenues up, Palin sent ""a large share of that revenue directly back to the people of Alaska."""
barely-true,Says he was the only Republican candidate at a prior debate who said lower-income workers were being hurt by the economy.
mostly-true,"Says Hillary Clintons top 10 donors are mainly banks, corporations and media, while Bernie Sanders top 10 donors are labor unions."
FALSE,Portland Community College serves more students than all of the states universities combined.
half-true,"If we dont spend money on a pier, then that money does wipe into the general funds of the city or the county, and if you send it to the county, you never see it again."
pants-fire,Obamacare is . . . the largest tax increase in the history of the world.
mostly-true,"Republican candidate for governor Allan Fung donated to Democrats like Congressman David Cicilline, disgraced (House) speaker Gordon Fox and even Mr. Obamacare, Harry Reid."
pants-fire,Says Barack Obama founded ISIS. I would say the co-founder would be crooked Hillary Clinton.
mostly-true,"More than 70,000 job openings are listed on a state jobs website."
TRUE,"When the United States invaded Iraq, Saddam Hussein wanted to acquire weapons of mass destruction, and ""he said so himself after his capture."""
barely-true,"When asked about bills in Congress important to the North Country, Derrick responded I just dont know enough about it."
pants-fire,"Except for Virginia, the other 49 states keep raising their gas tax."
barely-true,"Says 70,000 children have lost their Head Start slots because of the sequester."
FALSE,On disaster aid offsets
mostly-true,(Strickland) raised taxes last year to the tune of $840 million.
FALSE,"Sarah Palin ""has more experience than Barack Obama."""
half-true,A golf course closes somewhere in America every 48 hours.
TRUE,"If you rent a U-Haul to move your company, it costs twice as much to go from San Francisco to Austin than the other way around, because you cant find enough trucks to flee the Golden State."
FALSE,The Congressional Budget Office has already doubled its estimate for the cost (of Obamacare) so far from roughly $800 billion to $1.7 trillion.
FALSE,"Oregons three largest employers, and 13 of the top 25, are health care providers."
barely-true,We get 30 percent of our oil from the Gulf (of Mexico).
FALSE,The Department of Energys Billion Ton Study has shown that wind and solar energy combined could at best provide only 5 percent of our total energy needs.
TRUE,Says the U.S. Constitution provides for just compensation when land is taken under eminent domain.
FALSE,Says Mitt Romneys campaign has already spent more on negative ads than John McCain did during his entire presidential run.
FALSE,"As we near the 10th anniversary of the 9/11 terrorist attacks, we should not forget that some of the hijackers used New Jersey drivers licenses to board those aircraft."
TRUE,"For every $10,000 invested in business incubators, up to nearly 70 local jobs are generated."
pants-fire,"Although the governor doubled the beach fees . . . all the money, as we found out, is all going to an out-of-state company. The state isnt even getting the money for that."
FALSE,"Three presidents in the last century Harding, Kennedy and Reagan all cut taxes during recessions and produced ""rapid and dramatic economic recoveries,"" while two, Herbert Hoover and Barack Obama, did ""the opposite."""
half-true,"The Congressional Budget Office analysis of the health insurance reform legislation says the bill ""cuts the deficit by $1.2 trillion in the second 10 years."""
barely-true,Says John Barrow voted with Obama 85 percent of the time.
half-true,Studies show that people that are on welfare are higher users of drugs than people not on welfare.
TRUE,"The income of the top 1 percent nearly quadrupled from 1979 to 2007, but the typical familys incomes barely budged."
TRUE,John McCain has voted with George Bush 90 percent of the time.
mostly-true,Says he and Bernie Sanders have very similar views on trade
